DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71307,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20001,VALLEDUPAR,20001027,LA MESA - AZUCAR BUENA,EN OPERACI�N,"10,24472000","-73,28194000",2019-12-05,2021-09-04,2021-02-22,2021-12-31,500,"340,31",1,9,"27007800,00"
71133,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15667,SAN LUIS DE GACENO,15667000,VEREDA GUAMAL,EN OPERACI�N,"4,80556000","-73,08917000",2019-12-11,2021-09-10,2021-02-22,2021-12-31,122,"17,18",1,9,"27007800,00"
71779,RED DE INGENIERIA S.A.S.,804012847-1,70,SUCRE,70713,SAN ONOFRE,70713009,CORREGIMIENTO PLAN PAREJO,EN OPERACI�N,"10,01472000","-75,51472000",2019-12-03,2021-09-02,2021-02-22,2021-12-31,204,"289,94",1,9,"27007800,00"
71423,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25662,SAN JUAN DE RIO SECO,25662002,LAGUNITAS,EN OPERACI�N,"4,77083000","-74,61333000",2019-12-10,2021-09-09,2021-02-22,2021-12-31,252,"303,73",1,9,"27007800,00"
71578,RED DE INGENIERIA S.A.S.,804012847-1,54,NORTE DE SANTANDER,54125,CACOTA,54125000,CURPAGA,EN OPERACI�N,"7,27111000","-72,69083000",2019-12-06,2021-09-05,2021-02-22,2021-12-31,355,"116,51",1,9,"27007800,00"
71391,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25279,FOMEQUE,25279001,VEREDA SAN LORENZO,EN OPERACI�N,"4,42583000","-73,87806000",2019-12-19,2021-09-18,2021-02-22,2021-12-31,85,"128,32",1,9,"27007800,00"
71646,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68101,BOLIVAR,68101000,BOQUER�N,EN OPERACI�N,"6,07388000","-73,75138000",2019-12-10,2021-09-09,2021-02-22,2021-12-31,472,"402,38",1,9,"27007800,00"
72577,EMTEL,891502163-1,86,PUTUMAYO,86885,VILLAGARZON,86885000,GUINEO (EL),EN OPERACI�N,"1,01513900","-76,65183000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
71864,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73504,ORTEGA,73504025,PUENTE CUCUANA,EN OPERACI�N,"3,98917000","-75,18167000",2019-11-29,2021-08-28,2021-02-22,2021-12-31,538,"107,13",1,9,"27007800,00"
71092,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15183,CHITA,15183000,EL MORTI�AL,EN OPERACI�N,"6,21194000","-72,48278000",2019-12-10,2021-09-09,2021-02-22,2021-12-31,67,"36,01",1,9,"27007800,00"
72522,EMTEL,891502163-1,94,GUAINIA,94343,BARRANCO MINAS,94343003,PUEBLO NUEVO,EN OPERACI�N,"3,42288000","-69,89434000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
72315,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73268,ESPINAL,73268000,LA JOYA,EN OPERACI�N,"4,20194444","-74,91500000",2020-08-19,1900-01-01,2021-02-22,2021-12-31,35,"11,77",1,9,"27007800,00"
72601,EMTEL,891502163-1,97,VAUPES,97001,MITU,97001000,COMUNIDAD MACAQUI�O,EN OPERACI�N,"1,26703500","-70,11443000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
72391,EMTEL,891502163-1,91,AMAZONAS,91001,LETICIA,91001011,COMUNIDAD INDIGENA SANTA SOFIA,EN OPERACI�N,"-4,00645200","-70,13226000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
71909,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73678,SAN LUIS,73678000,SAN LUIS,EN OPERACI�N,"4,02361111","-75,14888889",2020-01-31,2021-10-30,2021-02-22,2021-12-31,101,"84,77",1,9,"27007800,00"
72444,EMTEL,891502163-1,19,CAUCA,19137,CALDONO,19137011,ANDALUCIA,EN OPERACI�N,"2,78666700","-76,44016000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
72086,RED DE INGENIERIA S.A.S.,804012847-1,13,BOLIVAR,13248,EL GUAMO,13248005,TASAJERA,EN OPERACI�N,"10,02527778","-74,82277778",2020-08-21,1900-01-01,2021-02-22,2021-12-31,825,"188,19",1,9,"27007800,00"
71491,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41770,SUAZA,41770001,GALLARDO,EN OPERACI�N,"1,90361000","-75,72639000",2019-12-04,2021-09-03,2021-02-22,2021-12-31,766,"476,33",1,9,"27007800,00"
71833,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73268,ESPINAL,73268000,LA JOYA,EN OPERACI�N,"4,20194444","-74,91500000",2019-11-26,2021-08-25,2021-02-22,2021-12-31,360,"167,92",1,9,"27007800,00"
71967,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76563,PRADERA,76563027,CORREGIMIENTO EL ARENILLO,EN OPERACI�N,"3,47861000","-76,18222000",2019-12-15,2021-09-14,2021-02-22,2021-12-31,167,"58,51",1,9,"27007800,00"
71494,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41770,SUAZA,41770006,PICUNA,EN OPERACI�N,"1,91983000","-75,84345000",2019-12-02,2021-09-01,2021-02-22,2021-12-31,1290,"557,58",1,9,"27007800,00"
71129,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15646,SAMACA,15646000,MAMONAL,EN OPERACI�N,"5,45139000","-73,48833000",2019-12-05,2021-09-04,2021-02-22,2021-12-31,69,"32,63",1,9,"27007800,00"
